id,sentence
1,What are recurrent neural networks?
2,A recurrent neural network (RNN) is a type of artificial neural network which uses sequential data or time series data.
3,"These deep learning algorithms are commonly used for ordinal or temporal problems, such as language translation, natural language processing (nlp), speech recognition, and image captioning; they are incorporated into popular applications such as Siri, voice search, and Google Translate."
4,"Like feedforward and convolutional neural networks (CNNs), recurrent neural networks utilize training data to learn."
5,They are distinguished by their “memory” as they take information from prior inputs to influence the current input and output.
6,"While traditional deep neural networks assume that inputs and outputs are independent of each other, the output of recurrent neural networks depend on the prior elements within the sequence."
7,"While future events would also be helpful in determining the output of a given sequence, unidirectional recurrent neural networks cannot account for these events in their predictions."
8,"Let’s take an idiom, such as “feeling under the weather”, which is commonly used when someone is ill, to aid us in the explanation of RNNs."
9,"In order for the idiom to make sense, it needs to be expressed in that specific order."
10,"As a result, recurrent networks need to account for the position of each word in the idiom and they use that information to predict the next word in the sequence."
11,Another distinguishing characteristic of recurrent networks is that they share parameters across each layer of the network.
12,"While feedforward networks have different weights across each node, recurrent neural networks share the same weight parameter within each layer of the network."
13,"That said, these weights are still adjusted in the through the processes of backpropagation and gradient descent to facilitate reinforcement learning."
14,"Recurrent neural networks leverage backpropagation through time (BPTT) algorithm to determine the gradients, which is slightly different from traditional backpropagation as it is specific to sequence data."
15,"The principles of BPTT are the same as traditional backpropagation, where the model trains itself by calculating errors from its output layer to its input layer."
16,These calculations allow us to adjust and fit the parameters of the model appropriately.
17,BPTT differs from the traditional approach in that BPTT sums errors at each time step whereas feedforward networks do not need to sum errors as they do not share parameters across each layer.
18,"Through this process, RNNs tend to run into two problems, known as exploding gradients and vanishing gradients."
19,"These issues are defined by the size of the gradient, which is the slope of the loss function along the error curve."
20,"When the gradient is too small, it continues to become smaller, updating the weight parameters until they become insignificant—i.e."
21,0.
22,"When that occurs, the algorithm is no longer learning."
23,"Exploding gradients occur when the gradient is too large, creating an unstable model."
24,"In this case, the model weights will grow too large, and they will eventually be represented as NaN."
25,"One solution to these issues is to reduce the number of hidden layers within the neural network, eliminating some of the complexity in the RNN model."
26,"Types of recurrent neural networks: Feedforward networks map one input to one output, and while we’ve visualized recurrent neural networks in this way in the above diagrams, they do not actually have this constraint."
27,"Instead, their inputs and outputs can vary in length, and different types of RNNs are used for different use cases, such as music generation, sentiment classification, and machine translation.A Brief Overview of Recurrent Neural Networks (RNN): This article was published as a part of the Data Science Blogathon."
28,"Apple’s Siri and Google’s voice search both use Recurrent Neural Networks (RNNs), which are the state-of-the-art method for sequential data."
29,"It’s the first algorithm with an internal memory that remembers its input, making it perfect for problems involving sequential data in machine learning."
